 trial	counterbalance	trialType	trialID	cond	audio	target_pic	target_contrast_good	target_contrast_bad	big_filler	small_filler
115	l1	train	train75	no_contrast	popcorn.wav	popcorn_small.jpg	pool_big.jpg	popcorn_big.jpg	pants_big.jpg	firepants_small.jpg
116	l1	train	train76	no_contrast	schoolbus.wav	schoolbus_big.jpg	snail_small.jpg	schoolbus_small.jpg	magnifyingglass_big.jpg	package_small.jpg
117	l1	train	train77	no_contrast	avocado.wav	avocado_small.jpg	seahorse_big.jpg	avocado_big.jpg	ovenmit_big.jpg	candleholder_small.jpg
118	l1	train	train78	no_contrast	bagel.wav	bagel_big.jpg	igloo_small.jpg	bagel_small.jpg	broom_big.jpg	nutcracker_small.jpg
119	l1	train	train79	no_contrast	blackberry.wav	blackberry_small.jpg	hammock_big.jpg	blackberry_big.jpg	musicsheet_big.jpg	tote_small.jpg
120	l1	train	train80	no_contrast	sardines.wav	sardines_big.jpg	football_small.jpg	sardines_small.jpg	oars_big.jpg	couch_small.jpg
121	l1	filler	filler1	semantic_contrast	hanger_wood.wav	hanger_wood.jpg	hanger_plastic.jpg	bishop.jpg	pinata_big.jpg	congadrum_small.jpg
122	l1	filler	filler2	semantic_contrast	icecream_strawberry.wav	icecream_strawberry.jpg	icecream_vanilla.jpg	seagull.jpg	toydrill_big.jpg	headlights_small.jpg
123	l1	filler	filler3	semantic_contrast	cow_spotted.wav	cow_spotted.jpg	cow_brown.jpg	buddha.jpg	pinacolada_big.jpg	honeystick_small.jpg
124	l1	filler	filler4	semantic_contrast	guitar_electric.wav	guitar_electric.jpg	guitar_classic.jpg	cardinal.jpg	turkey_big.jpg	horseshoe_small.jpg
125	l1	filler	filler5	semantic_contrast	bracelet_gold.wav	bracelet_gold.jpg	bracelet_diamond.jpg	carousel.jpg	waterhose_big.jpg	hubble_small.jpg
126	l1	filler	filler6	semantic_contrast	balloon_blue.wav	balloon_blue.jpg	balloon_red.jpg	treasurechest.jpg	watercooler_big.jpg	huntingvest_small.jpg
127	l1	filler	filler7	semantic_contrast	bathingsuit_red.wav	bathingsuit_red.jpg	bathingsuit_blue.jpg	chopsticks.jpg	weddingcake_big.jpg	jackolantern_small.jpg
128	l1	filler	filler8	semantic_contrast	wine_red.wav	wine_red.jpg	wine_white.jpg	cockerspaniel.jpg	bootie_big.jpg	jar_small.jpg
129	l1	filler	filler9	semantic_contrast	chocolatebar_nuts.wav	chocolatebar_nuts.jpg	chocolatebar_nonuts.jpg	constructionhelmet.jpg	woodperson_big.jpg	joystick_small.jpg
130	l1	filler	filler10	semantic_contrast	dollarbills_one.wav	dollarbills_one.jpg	dollarbills_five.jpg	daisies.jpg	bobcat_big.jpg	juicer_small.jpg
131	l1	filler	filler11	semantic_contrast	bellpeppers_green.wav	bellpeppers_green.jpg	bellpeppers_red.jpg	dogbones.jpg	babyswing_big.jpg	redkettle_small.jpg
132	l1	filler	filler12	semantic_contrast	chocolatecandy_round.wav	chocolatecandy_round.jpg	chocolatecandy_square.jpg	film.jpg	bait_big.jpg	kitchenisland_small.jpg
133	l1	filler	filler13	semantic_contrast	glasses_reading.wav	glasses_reading.jpg	glasses_sun.jpg	fishhook.jpg	evenbars_big.jpg	kitchentimer_small.jpg
134	l1	filler	filler14	semantic_contrast	loafofbread_round.wav	loafofbread_round.jpg	loafofbread_rectangular.jpg	flamingo.jpg	batteries_big.jpg	kneehammer_small.jpg
135	l1	filler	filler15	semantic_contrast	robot_dog.wav	robot_dog.jpg	robot_person.jpg	flipflops.jpg	beachtowels_big.jpg	boxcutter_small.jpg
136	l1	filler	filler16	semantic_contrast	sink_metal.wav	sink_metal.jpg	sink_porcelain.jpg	flowerpot.jpg	bikewithbasket_big.jpg	ladle_small.jpg
137	l1	filler	filler17	semantic_contrast	pasta_tricolor.wav	pasta_tricolor.jpg	pasta_tortellini.jpg	mortarandpestle.jpg	brusselsprout_big.jpg	lemur_small.jpg
138	l1	filler	filler18	semantic_contrast	candy_heart.wav	candy_heart.jpg	candy_orange.jpg	frame.jpg	butternutsquash_big.jpg	leopard_small.jpg
139	l1	filler	filler19	semantic_contrast	kettle_electric.wav	kettle_electric.jpg	kettle_stovetop.jpg	frenchtoast.jpg	celery_big.jpg	loofa_small.jpg
140	l1	filler	filler20	semantic_contrast	coffin_open.wav	coffin_open.jpg	coffin_closed.jpg	fruitcake.jpg	cigarette_big.jpg	braidedloaf_small.jpg
141	l1	filler	filler21	semantic_contrast	cracker_round.wav	cracker_round.jpg	cracker_square.jpg	grillpan.jpg	golfcart_big.jpg	manatee_small.jpg
142	l1	filler	filler22	semantic_contrast	mirror_hand.wav	mirror_hand.jpg	mirror_standing.jpg	goldfish.jpg	exercisebike_big.jpg	mango_small.jpg
143	l1	filler	filler23	semantic_contrast	slinky_rainbow.wav	slinky_rainbow.jpg	slinky_silver.jpg	golfiron.jpg	dustpan_big.jpg	measuringcups_small.jpg
144	l1	filler	filler24	semantic_contrast	backpack_open.wav	backpack_open.jpg	backpack_closed.jpg	grater.jpg	helicopter_big.jpg	meat_small.jpg
145	l1	filler	filler25	semantic_contrast	book_open.wav	book_open.jpg	book_closed.jpg	groundhog.jpg	tank_big.jpg	thermometer_small.jpg
146	l1	filler	filler26	semantic_contrast	cabbage_green.wav	cabbage_green.jpg	cabbage_red.jpg	milkjug.jpg	fortunecookie_big.jpg	muffinpan_small.jpg
147	l1	filler	filler27	semantic_contrast	phone_mobile.wav	phone_mobile.jpg	phone_landline.jpg	ship.jpg	gingerbreadcookie_big.jpg	nailpolish_small.jpg
148	l1	filler	filler28	semantic_contrast	donut_glazed.wav	donut_glazed.jpg	donut_powdered.jpg	lighter.jpg	gummybears_big.jpg	organ_small.jpg
149	l1	filler	filler29	semantic_contrast	cup_coffee.wav	cup_coffee.jpg	cup_plastic.jpg	icecubetray.jpg	carkeys_big.jpg	oven_small.jpg
150	l1	filler	filler30	semantic_contrast	bottle_glass.wav	bottle_glass.jpg	bottle_plastic.jpg	gardeningpail.jpg	lawnmower_big.jpg	paintroller_small.jpg
151	l1	filler	filler31	semantic_contrast	pen_fountain.wav	pen_fountain.jpg	pen_marker.jpg	mousewheel.jpg	kimono_big.jpg	bench_small.jpg
152	l1	filler	filler32	semantic_contrast	duck_rubber.wav	duck_rubber.jpg	duck_plush.jpg	nailclippers.jpg	spring_big.jpg	parsley_small.jpg
153	l1	filler	filler33	semantic_contrast	pin_red.wav	pin_red.jpg	pin_yellow.jpg	orca.jpg	saltpepper_big.jpg	pitabread_small.jpg
154	l1	filler	filler34	semantic_contrast	cooler_pink.wav	cooler_pink.jpg	cooler_blue.jpg	rainboots.jpg	scooter_big.jpg	pepperoni_small.jpg
155	l1	filler	filler35	semantic_contrast	doorknocker_lion.wav	doorknocker_lion.jpg	doorknocker_dragon.jpg	rug.jpg	sandbox_big.jpg	peppershaker_small.jpg
156	l1	filler	filler36	semantic_contrast	highlighter_yellow.wav	highlighter_yellow.jpg	highlighter_pink.jpg	picnictable.jpg	computermouse_big.jpg	persianrug_small.jpg
157	l1	filler	filler37	semantic_contrast	mailbox_barn.wav	mailbox_barn.jpg	mailbox_cow.jpg	pinkshoes.jpg	seesaw_big.jpg	pitchfork_small.jpg
158	l1	filler	filler38	semantic_contrast	car_convertible.wav	car_convertible.jpg	car_sedan.jpg	pocketwatch.jpg	shield_big.jpg	plum_small.jpg
159	l1	filler	filler39	semantic_contrast	umbrella_cocktail.wav	umbrella_cocktail.jpg	umbrella_rain.jpg	potofgold.jpg	sportsbasket_big.jpg	corndog_small.jpg
160	l1	filler	filler40	semantic_contrast	coins_fivecent.wav	coins_fivecent.jpg	coins_tencent.jpg	rake.jpg	turnip_big.jpg	pomegranate_small.jpg
161	l1	filler	filler41	semantic_contrast	toaster_twoslot.wav	toaster_twoslot.jpg	toaster_fourslot.jpg	recyclingbox.jpg	robe_big.jpg	eyeshadow_small.jpg
162	l1	filler	filler42	semantic_contrast	tupperware_round.wav	tupperware_round.jpg	tupperware_rectangular.jpg	rockingchair.jpg	crutches_big.jpg	powder_small.jpg
163	l1	filler	filler43	semantic_contrast	shirt_hawaiian.wav	shirt_hawaiian.jpg	shirt_corvette.jpg	yellowrose.jpg	exerciseball_big.jpg	policecar_small.jpg
164	l1	filler	filler44	semantic_contrast	lightbulb_green.wav	lightbulb_green.jpg	lightbulb_white.jpg	russiandoll.jpg	greentape_big.jpg	redbean_small.jpg
165	l1	filler	filler45	semantic_contrast	fork_plastic.wav	fork_plastic.jpg	fork_silver.jpg	salami.jpg	postits_big.jpg	rockclimbingshoe_small.jpg
166	l1	filler	filler46	semantic_contrast	apple_red.wav	apple_red.jpg	apple_green.jpg	scale.jpg	payphone_big.jpg	saddle_small.jpg
167	l1	filler	filler47	semantic_contrast	candy_wrapped.wav	candy_wrapped.jpg	candy_unwrapped.jpg	seal.jpg	grenade_big.jpg	sandal_small.jpg
168	l1	filler	filler48	semantic_contrast	box_open.wav	box_open.jpg	box_closed.jpg	skeleton.jpg	measuringtape_big.jpg	screw_small.jpg
169	l1	filler	filler49	semantic_contrast	puppet_shorthair.wav	puppet_shorthair.jpg	puppet_longhair.jpg	sled.jpg	protractor_big.jpg	shades_small.jpg
170	l1	filler	filler50	semantic_contrast	lemon_whole.wav	lemon_whole.jpg	lemon_half.jpg	skydive.jpg	handcuffs_big.jpg	shelf_small.jpg
171	l1	filler	filler51	semantic_contrast	lock_open.wav	lock_open.jpg	lock_closed.jpg	speakers.jpg	wrench_big.jpg	jumprope_small.jpg
172	l1	filler	filler52	semantic_contrast	mixer_green.wav	mixer_green.jpg	mixer_red.jpg	spiderweb.jpg	tweezers_big.jpg	skirt_small.jpg
173	l1	filler	filler53	semantic_contrast	watch_yellow.wav	watch_yellow.jpg	watch_brown.jpg	staircase.jpg	babybottle_big.jpg	snowshoes_small.jpg
174	l1	filler	filler54	semantic_contrast	eraser_pink.wav	eraser_pink.jpg	eraser_redandblue.jpg	streetlamp.jpg	barberchair_big.jpg	thimble_small.jpg
175	l1	filler	filler55	semantic_contrast	shorts_black.wav	shorts_black.jpg	shorts_blue.jpg	zucchini.jpg	birdcage_big.jpg	thermos_small.jpg
176	l1	filler	filler56	semantic_contrast	toothbrush_red.wav	toothbrush_red.jpg	toothbrush_purple.jpg	baseballbat.jpg	bloodymary_big.jpg	threeholepunch_small.jpg
177	l1	filler	filler57	semantic_contrast	bow_blue.wav	bow_blue.jpg	bow_pink.jpg	buffalowings.jpg	bottleopener_big.jpg	toiletplunger_small.jpg
178	l1	filler	filler58	semantic_contrast	pie_strawberry.wav	pie_strawberry.jpg	pie_cherry.jpg	jalapeno.jpg	castanets_big.jpg	toyhorse_small.jpg
179	l1	filler	filler59	semantic_contrast	plate_yellow.wav	plate_yellow.jpg	plate_blue.jpg	legoblocks.jpg	cheeseplate_big.jpg	kooshball_small.jpg
